,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
298,2019-00055026,09/20/19,22:33,4100 block of Valley Dr,09/20/19,22:33,CDS Violation,Arrest
300,2019-00055046,09/20/19,23:47,Rossborough Ln,09/20/19,23:47,CDS Violation,Arrest
302,2019-00055053,09/20/19,15:00,"A.V. Williams Building, AV Williams at 8223 Paint Branch Dr",09/20/19,23:54,Theft,Investigation Pending
304,2019-00055056,09/21/19,00:13,Baltimore Ave,09/21/19,00:13,DWI/DUI,Arrest
306,2019-00055071,09/21/19,01:35,Frat Row,09/21/19,01:35,DWI/DUI,Arrest
308,2019-00055141,09/21/19,11:00,Lot 11b,09/21/19,11:57,Injured/Sick Person,CBE
310,2019-00055181,09/21/19,15:30,Norwich Rd,09/21/19,15:30,Alcohol Violation,Arrest
312,2019-00055189,09/21/19,16:56,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028 Stadium Dr",09/21/19,16:56,Injured/Sick Person,CBE
314,2019-00055225,09/21/19,20:52,University Blvd,09/21/19,20:52,DWI/DUI,Arrest
316,2019-00055271,09/21/19,23:30,Lot 2a,09/21/19,23:30,CDS Violation,Arrest
318,2019-00055273,09/21/19,23:44,"KA, Kappa Alpha at 1 Fraternity Row",09/21/19,23:43,Injured/Sick Person,CBE
320,2019-00055292,09/21/19,23:00,Pocomoke at 7569 Baltimore Ave,09/22/19,00:50,Injured/Sick Person,CBE
322,2019-00055294,09/22/19,01:00,Regents Dr,09/22/19,01:00,CDS Violation,Arrest
324,2019-00055296,09/22/19,01:04,Campus Dr,09/22/19,01:04,DWI/DUI,Arrest
326,2019-00055297,09/22/19,01:37,6900 block of Preinkert Dr,09/22/19,01:37,Injured/Sick Person,CBE
328,2019-00055301,09/11/19,02:02,Worcester at 7405 Preinkert Dr,09/22/19,02:02,Injured/Sick Person,CBE
330,2019-00055325,09/22/19,06:34,3500 block of University Blvd,09/22/19,06:34,Disorderly Conduct,Arrest
332,2019-00055425,09/22/19,19:08,The Hotel at 7777 Baltimore Ave,09/22/19,19:08,CDS Violation,Arrest
334,2019-00055483,09/23/19,03:33,Worcester at 7405 Preinkert Dr,09/23/19,03:33,Suspicious Activity,CBE
336,2019-00055579,09/20/19,11:00,7000 block of Preinkert Dr,09/23/19,13:28,Theft,Arrest
338,2019-00055605,09/22/19,19:00,"Garrett, Garrett Hall at 7570 Calvert Service Ln",09/23/19,16:54,Theft,Investigation Pending
340,2019-00055647,09/23/19,17:30,Varsity Sports Teamhouse at 4117 Stadium Dr,09/23/19,21:49,Stolen Motor Vehicle,Investigation Pending
342,2019-00055765,09/23/19,20:15,"Calvert, Calvert Hall at 7551 Calvert Service Ln",09/24/19,10:20,Stolen Motor Vehicle,Investigation Pending
344,2019-00055864,09/24/19,07:30,Lot N7,09/24/19,19:11,Vandalism,Investigation Pending
346,2019-00055932,09/24/19,23:33,Catholic Student Center at 4141 Guilford Dr,09/24/19,23:33,DWI/DUI,Arrest
348,2019-00055950,09/25/19,01:34,4200 block of Valley Dr,09/25/19,01:34,Emergency Petition,CBE
350,2019-00055977,09/25/19,07:00,"Garrett, Garrett Hall at 7570 Calvert Service Ln",09/25/19,07:15,Injured/Sick Person,CBE
352,2019-00056033,09/19/19,17:00,"Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr",09/25/19,12:24,Theft,Active/Pending
354,2019-00056040,09/25/19,13:23,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",09/25/19,13:23,Warrant/Summons Service,Arrest
356,2019-00056070,09/25/19,10:10,Lot Z,09/25/19,17:22,Suspicious Activity,CBE
358,2019-00056079,09/25/19,18:06,4100 block of Farm Dr,09/25/19,18:09,Suspicious Activity,CBE
360,2019-00056084,09/25/19,18:31,"Van Munching, Van Munching Hall at 7699 Mowatt Ln",09/25/19,18:31,Fire,CBE
362,2019-00056110,09/25/19,20:20,7600 block of Library Ln,09/25/19,20:20,Injured/Sick Person,CBE
364,2019-00056121,09/25/19,21:30,4500 block of Knox Rd,09/25/19,21:46,Burglary,Arrest
366,2019-00056136,09/25/19,22:00,Pocomoke at 7569 Baltimore Ave,09/26/19,01:24,Accident - Departmental,CBE
368,2019-00056189,09/26/19,09:50,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr",09/26/19,09:50,Other Incident,CBE
370,2019-00056193,08/25/19,16:15,4200 block of Chapel Ln,09/26/19,10:21,Theft,Investigation Pending
372,2019-00056245,09/25/19,09:00,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr",09/26/19,15:45,Other Incident,CBE
374,2019-00056248,09/26/19,16:53,8200 block of Boteler Ln,09/26/19,16:53,Vandalism,Active/Pending
376,2019-00056282,09/26/19,19:04,4200 block of Lehigh Rd,09/26/19,19:37,Fraud,Investigation Pending
378,2019-00056334,09/26/19,22:42,"Bel Air, Bel Air Hall at 4213 Valley Dr",09/26/19,22:42,Injured/Sick Person,CBE
380,2019-00056395,09/27/19,02:40,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr",09/27/19,02:40,CDS Violation,Arrest
382,2019-00056447,09/27/19,12:09,4600 block of Knox Rd,09/27/19,12:11,Theft,Arrest
384,2019-00056468,09/27/19,12:19,Rossborough Ln,09/27/19,15:47,Injured Officer,CBE
386,2019-00056479,09/26/19,12:00,Lot 12a,09/27/19,16:48,Damaged Property,Active/Pending
388,2019-00056496,09/27/19,18:00,Maryland Stadium Building Upper Deck at 4063 Stadium Dr,09/27/19,19:11,Injured/Sick Person,CBE
390,2019-00056498,09/27/19,18:55,Maryland Stadium Concessions 4 at 8239 Fieldhouse Dr,09/27/19,19:21,Fraud,CBE
392,2019-00056505,09/27/19,19:37,"Capital One Field at Maryland Stadium, Maryland Stadium",09/27/19,19:37,Disorderly Conduct,Arrest
394,2019-00056510,09/27/19,19:48,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr",09/27/19,19:48,Injured/Sick Person,CBE
396,2019-00056517,09/27/19,20:03,Prince Frederick at 7030 Preinkert Dr,09/27/19,20:03,Injured/Sick Person,CBE
398,2019-00056525,09/27/19,20:26,"Capital One Field at Maryland Stadium, Maryland Stadium",09/27/19,20:26,Injured/Sick Person,CBE
400,2019-00056532,09/27/19,20:40,Lot Q,09/27/19,20:40,Injured/Sick Person,CBE
402,2019-00056540,09/27/19,20:00,Maryland Stadium Building Upper Deck at 4063 Stadium Dr,09/27/19,20:57,Injured/Sick Person,CBE
404,2019-00056558,09/27/19,21:17,Lot R3,09/27/19,21:17,Injured/Sick Person,CBE
406,2019-00056565,09/27/19,21:20,4700 block of Harvard Rd,09/27/19,21:27,Assist Other Agency,CBE
408,2019-00056572,09/27/19,20:45,Maryland Stadium Building Upper Deck at 4063 Stadium Dr,09/27/19,21:45,Injured/Sick Person,CBE
410,2019-00056575,09/27/19,21:53,"Capital One Field at Maryland Stadium, Maryland Stadium",09/27/19,21:53,Disorderly Conduct,Arrest
412,2019-00056579,09/27/19,21:45,Maryland Stadium Building Upper Deck at 4063 Stadium Dr,09/27/19,22:03,Injured/Sick Person,CBE
414,2019-00056581,09/27/19,22:06,"PG3, SDG, Stadium Drive Garage, Stadium Drive Parking Garage at 4025 Stadium Dr",09/27/19,22:06,Injured/Sick Person,CBE
416,2019-00056607,09/27/19,20:00,"Kehoe Track, Kehoe Track at Ludwig Field, Ludwig Field at 7898 Championship Ln",09/27/19,23:28,Theft,Investigation Pending
418,2019-00056617,09/27/19,23:57,"John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr",09/27/19,23:57,DWI/DUI,Arrest
420,2019-00056627,09/28/19,00:05,4100 block of Farm Dr,09/28/19,00:05,Accident - Departmental,CBE
422,2019-00056633,09/28/19,00:38,"Cambridge, Cambridge Hall at 4230 Farm Dr",09/28/19,00:38,Injured/Sick Person,CBE
424,2019-00056656,09/28/19,02:50,7 Fraternity Row,09/28/19,02:52,Alarm,CBE
426,2019-00056668,09/27/19,15:00,Rhode Island Ave,09/28/19,07:03,Theft,Investigation Pending
428,2019-00056673,09/27/19,20:00,7500 block of Calvert Service Ln,09/28/19,07:59,Injured/Sick Person,CBE
430,2019-00056675,09/28/19,01:00,"Dorchester, Dorchester Hall at 3947 Campus Dr",09/28/19,09:00,Vandalism,Investigation Pending
432,2019-00056685,09/27/19,20:15,Lot N,09/28/19,10:27,Vandalism,Investigation Pending
434,2019-00056720,09/28/19,14:00,4100 block of Valley Dr,09/28/19,16:43,Telephone/EMail Misuse (Title IX Related),Active/Pending
436,2019-00056757,09/28/19,20:05,Worcester at 7405 Preinkert Dr,09/28/19,20:05,Injured/Sick Person,CBE
438,2019-00056775,09/28/19,21:59,College Ave,09/28/19,21:59,Alcohol Violation,Arrest
440,2019-00056781,09/28/19,22:09,College Ave,09/28/19,22:09,Alcohol Violation,Arrest
442,2019-00056793,09/28/19,23:10,Knox Rd,09/28/19,23:12,Stolen Motor Vehicle,CBE
444,2019-00056808,09/29/19,00:12,Stadium Dr,09/29/19,00:12,Suspicious Activity,CBE
446,2019-00056845,09/29/19,01:00,South Gate at 7567 Regents Dr,09/29/19,01:42,Injured/Sick Person,CBE
448,2019-00056857,09/29/19,{NO TIME},7400 block of Baltimore Ave,09/29/19,03:00,Injured/Sick Person,CBE
450,2019-00056861,09/29/19,02:30,"Leonardtown #240, Leonardtown at 4624 Norwich Rd",09/29/19,03:44,Other Incident,Active/Pending
452,2019-00056897,09/27/19,16:45,3900 block of Denton Service Ln,09/29/19,12:28,Other Incident,CBE
454,2019-00056971,09/29/19,18:50,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr",09/29/19,18:50,Trespassing,Arrest
456,2019-00056979,09/29/19,20:23,"Leonardtown #240, Leonardtown at 4624 Norwich Rd",09/29/19,20:23,Suspicious Person/Auto,Active/Pending
458,2019-00057001,09/29/19,20:24,"Leonardtown #241, Leonardtown at 4642 Norwich Rd",09/29/19,23:53,Suspicious Person/Auto,Summons Issued
460,2019-00057003,09/30/19,00:05,North Gate at 4306 Campus Dr,09/30/19,00:05,DWI/DUI,Arrest
462,2019-00057080,09/30/19,09:30,Field Hockey & Lacrosse Complex at 8483 Paint Branch Dr,09/30/19,09:44,Injured/Sick Person,CBE
464,2019-00057202,09/28/19,08:00,6900 block of Preinkert Dr,09/30/19,17:24,Theft,Active/Pending
466,2019-00057277,09/30/19,23:51,Artemesia Building at 8400 Baltimore Ave,09/30/19,23:51,DWI/DUI,Arrest
0,2019-00057382,10/01/19,08:35,Martin Hall at 4298 Campus Dr,10/01/19,08:40,Injured/Sick Person,CBE
2,2019-00057422,09/30/19,16:00,"Calvert, Calvert Hall at 7551 Calvert Service Ln",10/01/19,11:31,Theft,Investigation Pending
4,2019-00057434,10/01/19,12:39,Regents Dr,10/01/19,12:39,Injured/Sick Person,CBE
6,2019-00057437,10/01/19,12:52,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr",10/01/19,12:57,Title IX Incident Non Criminal,CBE
8,2019-00057459,10/01/19,14:00,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr",10/01/19,15:17,Theft,Unfounded
10,2019-00057478,10/01/19,17:13,"Tydings, Tydings Hall at 7343 Preinkert Dr",10/01/19,17:13,Injured/Sick Person,CBE
12,2019-00057502,10/01/19,19:25,3700 block of Campus Dr,10/01/19,19:25,Indecent Exposure (Title IX Related),Arrest
14,2019-00057571,10/02/19,00:03,Lot 9b,10/02/19,00:03,CDS Violation,Arrest
16,2019-00057575,10/02/19,{NO TIME},"Oakland, Oakland Hall at 3912 Denton Service Ln",10/02/19,00:07,CDS Violation,Arrest
18,2019-00057656,10/02/19,08:59,"Journalism Building, Knight Hall at 7765 Alumni Dr",10/02/19,08:59,Injured/Sick Person,CBE
20,2019-00057686,10/02/19,10:41,4200 block of Valley Dr,10/02/19,10:41,Injured/Sick Person,CBE
22,2019-00057726,09/27/19,13:00,Lot A,10/02/19,13:58,Theft,Investigation Pending
24,2019-00057737,09/23/19,17:15,7500 block of Mowatt Ln,10/02/19,15:23,Theft,Active/Pending
26,2019-00057746,10/02/19,16:09,"Cambridge, Cambridge Hall at 4230 Farm Dr",10/02/19,16:09,Emergency Petition,CBE
28,2019-00057751,09/27/19,23:00,"Dorchester, Dorchester Hall at 3947 Campus Dr",10/02/19,16:15,Other Incident,CBE
30,2019-00057758,09/27/19,20:00,"Prince George's, Prince George's Hall at 7527 Calvert Service Ln",10/02/19,17:20,Theft,Investigation Pending
32,2019-00057768,10/02/19,18:00,4300 block of Knox Rd,10/02/19,18:36,Theft,Active/Pending
34,2019-00057771,10/02/19,11:00,McKeldin Library at 7649 Library Ln,10/02/19,18:45,Theft,Investigation Pending
36,2019-00057803,10/02/19,22:37,4100 block of Valley Dr,10/02/19,22:42,Injured/Sick Person,CBE
38,2019-00057912,10/02/19,19:00,7000 block of Preinkert Dr,10/03/19,09:01,Other Incident,CBE
40,2019-00057923,10/03/19,10:50,"Tawes, Tawes Hall at 7751 Alumni Dr",10/03/19,10:50,Injured/Sick Person,CBE
42,2019-00057955,09/25/19,13:59,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr",10/03/19,13:59,Theft,Arrest
44,2019-00058083,10/03/19,23:47,Baltimore Ave,10/03/19,23:47,CDS Violation,Arrest
46,2019-00058099,10/04/19,00:36,Beechwood Rd,10/04/19,00:36,DWI/DUI,Arrest
48,2019-00058105,10/04/19,01:29,Baltimore Ave,10/04/19,01:29,Warrant/Summons Service,Arrest
50,2019-00058123,10/04/19,03:27,"Frederick, Frederick Hall at 4402 Lehigh Rd",10/04/19,03:27,Injured/Sick Person,CBE
52,2019-00058301,10/04/19,18:08,"Recreation Artificial Turf Field, Turf Field, Turf Fields",10/04/19,18:08,Injured/Sick Person,CBE
54,2019-00058321,10/04/19,18:55,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr",10/04/19,18:55,Injured/Sick Person,CBE
56,2019-00058393,10/04/19,23:26,7500 block of Mowatt Ln,10/04/19,23:26,Injured/Sick Person,CBE
58,2019-00058426,10/05/19,00:33,"Oakland, Oakland Hall at 3912 Denton Service Ln",10/05/19,00:33,CDS Violation,Arrest
60,2019-00058428,10/05/19,00:39,6900 block of Preinkert Dr,10/05/19,00:39,CDS Violation,Arrest
62,2019-00058430,10/05/19,00:49,College Park Towers (Hartwick Road) at 4330 Hartwick Rd,10/05/19,00:49,Injured/Sick Person,CBE
64,2019-00058432,10/05/19,01:12,Alpha Delti Pi at 4535 College Ave,10/05/19,01:12,Injured/Sick Person,CBE
66,2019-00058441,10/05/19,01:45,Montgomery at 7570 Regents Dr,10/05/19,01:45,Suspicious Activity,Active/Pending
68,2019-00058442,10/05/19,02:49,Ellicott at 4052 Stadium Dr,10/05/19,02:49,Injured/Sick Person,CBE
70,2019-00058588,10/06/19,00:06,"Prince George's, Prince George's Hall at 7527 Calvert Service Ln",10/06/19,00:06,CDS Violation,Arrest
72,2019-00058601,10/06/19,00:38,"Leonardtown #250, Leonardtown Community Center at 7559 Yale Ave",10/06/19,00:38,Suspicious Person/Auto,CBE
74,2019-00058603,10/06/19,00:47,Cornerstone at 7325 Baltimore Ave,10/06/19,00:49,Assist Other Agency,CBE
76,2019-00058693,10/06/19,13:20,4200 block of Stadium Dr,10/06/19,13:20,Other Incident,CBE
78,2019-00058748,10/06/19,21:21,Pocomoke at 7569 Baltimore Ave,10/06/19,21:21,CDS Violation,Arrest
80,2019-00058770,10/06/19,23:43,"Oakland, Oakland Hall at 3912 Denton Service Ln",10/06/19,23:43,CDS Violation,Arrest
82,2019-00058921,07/19/19,14:42,Alpha Chi Omega at 4525 College Ave,10/07/19,11:19,Theft,Investigation Pending
84,2019-00058942,10/07/19,13:30,"Football Team House, Gossett, Gossett Football Team House at 4068 Fieldhouse Dr",10/07/19,14:25,Assault,CBE
86,2019-00058986,10/07/19,17:47,Baltimore Ave,10/07/19,17:47,CDS Violation,Arrest
88,2019-00059044,10/07/19,22:58,Baltimore Ave,10/07/19,22:58,CDS Violation,Arrest
90,2019-00059051,10/07/19,15:00,4800 block of Berwyn House Rd,10/07/19,23:05,Assist Other Agency,CBE
92,2019-00059172,10/08/19,11:04,3900 block of Denton Service Ln,10/08/19,11:04,Injured/Sick Person,CBE
94,2019-00059201,09/23/19,22:30,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028 Stadium Dr",10/08/19,14:02,Theft,Investigation Pending
96,2019-00059203,10/08/19,14:24,"Van Munching, Van Munching Hall at 7699 Mowatt Ln",10/08/19,14:24,Injured/Sick Person,CBE
98,2019-00059205,10/08/19,11:00,4700 block of Berwyn House Rd,10/08/19,15:13,Suspicious Activity,CBE
100,2019-00059216,10/08/19,16:23,10000 block of Baltimore Ave,10/08/19,16:23,Accident - Departmental,CBE
102,2019-00059223,10/08/19,17:00,3900 block of Campus Dr,10/08/19,17:50,Injured/Sick Person,CBE
104,2019-00059320,10/09/19,00:39,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr",10/09/19,00:39,DWI/DUI,Arrest
106,2019-00059335,10/09/19,02:19,Baltimore Ave,10/09/19,02:19,DWI/DUI,Arrest
108,2019-00059507,10/09/19,21:57,"Plant Operations & Maintenance Shops, WeWork at 7761 Diamondback Dr",10/09/19,21:57,Assist Other Agency,Active/Pending
110,2019-00059523,10/09/19,22:00,Knox Rd,10/09/19,23:05,Assist Other Agency,CBE
112,2019-00059575,10/10/19,01:55,Mowatt Ln,10/10/19,01:55,CDS Violation,Arrest
114,2019-00059587,10/10/19,03:32,Town Hall at 8135 Baltimore Ave,10/10/19,03:32,DWI/DUI,Arrest
116,2019-00059588,10/10/19,03:37,University Club at 4800 Berwyn House Rd,10/10/19,03:37,DWI/DUI,Arrest
118,2019-00059648,10/10/19,10:00,Washington Quad,10/10/19,11:12,Hate Bias Incident,Investigation Pending
120,2019-00059655,10/10/19,12:00,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr",10/10/19,12:11,Theft,CBE
122,2019-00059661,10/10/19,13:23,3400 block of Tulane Dr,10/10/19,13:23,Suspicious Person/Auto,CBE
124,2019-00059677,10/10/19,17:25,Frat Row,10/10/19,17:32,Injured/Sick Person,CBE
126,2019-00059747,10/10/19,22:21,4100 block of Valley Dr,10/10/19,22:21,CDS Violation,Arrest
128,2019-00059749,10/10/19,22:36,Knox Rd,10/10/19,22:36,DWI/DUI,Arrest
130,2019-00059813,10/11/19,01:47,8300 block of Boteler Ln,10/11/19,01:47,CDS Violation,Arrest
132,2019-00059816,10/11/19,02:33,Baltimore Ave,10/11/19,02:33,DWI/DUI,Arrest
134,2019-00059819,10/11/19,02:45,4400 block of Knox Rd,10/11/19,02:51,Injured/Sick Person,CBE
136,2019-00059830,10/11/19,03:25,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300 Hartwick Rd",10/11/19,03:25,CDS Violation,Arrest
138,2019-00059832,10/11/19,04:07,4400 block of Lehigh Rd,10/11/19,04:07,Suspicious Person/Auto,Active/Pending
140,2019-00059865,10/11/19,08:45,Patapsco Building at 5145 Campus Dr,10/11/19,08:53,Injured/Sick Person,CBE
142,2019-00059881,10/11/19,09:00,Pocomoke at 7569 Baltimore Ave,10/11/19,11:14,Suspicious Activity,CBE
144,2019-00059889,10/10/19,19:00,340 block of Ehrensberger Dr,10/11/19,11:57,Vehicle Tampering,Active/Pending
146,2019-00059890,10/10/19,23:30,Lot 11b,10/11/19,11:54,Theft,Investigation Pending
148,2019-00059899,10/11/19,12:00,8000 block of Regents Dr,10/11/19,12:51,Other Incident,CBE
150,2019-00059900,10/10/19,08:30,Lot 11b,10/11/19,12:56,Theft from Auto,Investigation Pending
152,2019-00059912,10/11/19,14:55,4100 block of Valley Dr,10/11/19,15:19,CDS Violation,CBE
154,2019-00059962,10/11/19,20:10,Rossborough Inn at 7682 Baltimore Ave,10/11/19,20:18,Injured/Sick Person,CBE
156,2019-00059973,10/11/19,21:47,University Blvd,10/11/19,21:47,CDS Violation,Arrest
158,2019-00059997,10/11/19,23:56,4100 block of Valley Dr,10/11/19,23:56,Injured/Sick Person,CBE
160,2019-00060013,10/12/19,02:31,"Allegany, Allegany Hall at 4299 Lehigh Rd",10/12/19,02:31,Suspicious Activity,CBE
162,2019-00060019,10/12/19,03:45,"Leonardtown #240, Leonardtown at 4624 Norwich Rd",10/12/19,03:52,Injured/Sick Person,CBE
164,2019-00060020,10/12/19,04:01,4400 block of Lehigh Rd,10/12/19,04:01,Injured/Sick Person,CBE
166,2019-00060073,10/08/19,12:00,Prince Frederick at 7030 Preinkert Dr,10/12/19,11:09,Theft,Investigation Pending
168,2019-00060085,10/10/19,17:00,Denton at 3854 Stadium Dr,10/12/19,12:32,Theft,Investigation Pending
170,2019-00060106,10/12/19,16:08,"Garrett, Garrett Hall at 7570 Calvert Service Ln",10/12/19,16:08,Check on the Welfare,CBE
172,2019-00060127,10/09/19,17:00,7500 block of Mowatt Ln,10/12/19,17:50,Vehicle Tampering,CBE
174,2019-00060140,10/10/19,12:15,"Bioscience, Bioscience Research Building at 4066 Campus Dr",10/12/19,19:54,Theft,Active/Pending
176,2019-00060142,10/12/19,20:10,6 Fraternity Row,10/12/19,20:10,Disorderly Conduct,Arrest
178,2019-00060146,10/12/19,20:37,4000 block of Stadium Dr,10/12/19,20:37,CDS Violation,CBE
180,2019-00060181,10/13/19,00:01,Prince Frederick at 7030 Preinkert Dr,10/13/19,00:01,Injured/Sick Person,CBE
182,2019-00060200,10/13/19,01:12,Kent at 7565 Calvert Service Ln,10/13/19,01:12,Injured/Sick Person,CBE
184,2019-00060220,10/13/19,02:42,"Oakland, Oakland Hall at 3912 Denton Service Ln",10/13/19,02:42,Emergency Petition,CBE
186,2019-00060224,10/13/19,05:10,Somerset at 7567 Preinkert Dr,10/13/19,05:20,Burglary,CBE
188,2019-00060264,10/13/19,14:57,"H.J. Patterson Hall, HJ Patterson Hall at 4065 Campus Dr",10/13/19,14:57,Injured/Sick Person,CBE
190,2019-00060292,10/13/19,16:30,"President's Residence, University House at 8150 Presidential Dr",10/13/19,16:43,Assist Other Agency,CBE
192,2019-00060353,10/14/19,00:12,Baltimore Ave,10/14/19,00:12,CDS Violation,Arrest
194,2019-00060356,10/14/19,00:28,"Allegany, Allegany Hall at 4299 Lehigh Rd",10/14/19,00:28,Injured/Sick Person,CBE
196,2019-00060418,10/08/19,17:00,7500 block of Mowatt Ln,10/14/19,10:15,Vandalism,Active/Pending
198,2019-00060430,10/14/19,10:30,Varsity Sports Teamhouse at 4117 Stadium Dr,10/14/19,10:57,Theft,Arrest
200,2019-00060435,10/14/19,12:05,"Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration at 7999 Regents Dr",10/14/19,12:05,Emergency Petition,CBE
202,2019-00060602,10/15/19,00:49,Baltimore Ave,10/15/19,00:49,CDS Violation,Arrest
204,2019-00060621,10/15/19,01:29,Greenbelt Rd,10/15/19,01:29,CDS Violation,Arrest
206,2019-00060626,10/15/19,02:14,Adelphi Rd,10/15/19,02:14,CDS Violation,Arrest
208,2019-00060711,10/15/19,11:20,Baltimore Ave,10/15/19,11:25,Pedestrian Struck,CBE
210,2019-00060722,10/15/19,07:00,Lot 11b,10/15/19,13:52,Theft,Investigation Pending
212,2019-00060725,10/15/19,12:00,"Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration at 7999 Regents Dr",10/15/19,14:13,Telephone/EMail Misuse,CBE
214,2019-00060729,10/15/19,15:10,Calvert Rd,10/15/19,15:10,Recovered Stolen Property,Arrest
216,2019-00060732,10/15/19,17:20,"Chemistry, Chemistry Building at 8051 Regents Dr",10/15/19,17:29,Injured/Sick Person,CBE
218,2019-00060739,10/15/19,17:30,3900 block of Campus Dr,10/15/19,18:23,Other Incident,CBE
220,2019-00060740,10/15/19,18:41,"Chemistry, Chemistry Building at 8051 Regents Dr",10/15/19,18:43,Theft,Investigation Pending
222,2019-00060757,10/15/19,21:00,4100 block of Valley Dr,10/15/19,23:09,Other Service Call,CBE
224,2019-00060777,10/15/19,21:15,7600 block of Library Ln,10/15/19,23:56,Theft,Arrest
226,2019-00060783,10/16/19,00:42,8400 block of Baltimore Ave,10/16/19,00:42,DWI/DUI,Arrest
228,2019-00060785,10/15/19,08:00,Pocomoke at 7569 Baltimore Ave,10/16/19,00:55,Dept Property Damage/Loss,Active/Pending
230,2019-00060850,10/16/19,11:50,4000 block of Clagett Rd,10/16/19,11:54,Theft,Arrest
232,2019-00060858,10/16/19,08:30,Animal Science Building at 8127 Regents Dr,10/16/19,15:45,Theft,Active/Pending
234,2019-00060954,10/17/19,00:39,University Blvd,10/17/19,00:39,DWI/DUI,Arrest
236,2019-00061066,10/14/19,21:00,Artemesia Building at 8400 Baltimore Ave,10/17/19,11:35,Vandalism,Active/Pending
238,2019-00061074,10/17/19,12:50,University Blvd,10/17/19,12:50,Warrant/Summons Service,Arrest
240,2019-00061093,10/17/19,16:45,Lot E,10/17/19,16:45,Recovered Stolen Property,Arrest
242,2019-00061154,10/17/19,23:45,Lot K2,10/17/19,23:54,Injured/Sick Person,CBE
244,2019-00061163,10/18/19,00:25,Baltimore Ave,10/18/19,00:25,DWI/DUI,Arrest
246,2019-00061169,10/18/19,01:26,University Blvd,10/18/19,01:26,DWI/DUI,Arrest
248,2019-00061192,10/18/19,13:00,3900 block of Denton Service Ln,10/18/19,13:00,Injured/Sick Person,CBE
250,2019-00061217,10/18/19,17:00,Health Center at 3983 Campus Dr,10/18/19,17:03,Emergency Petition,CBE
252,2019-00061218,10/18/19,17:06,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300 Hartwick Rd",10/18/19,17:06,Assist Other Agency,CBE
254,2019-00061337,10/19/19,00:29,4000 block of Stadium Dr,10/19/19,00:29,CDS Violation,Arrest
256,2019-00061347,10/19/19,01:29,4200 block of Valley Dr,10/19/19,01:29,Injured/Sick Person,CBE
258,2019-00061356,10/19/19,02:30,"John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr",10/19/19,02:27,Injured/Sick Person,CBE
260,2019-00061365,10/19/19,03:22,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr",10/19/19,03:23,Injured/Sick Person,CBE
262,2019-00061375,10/19/19,04:12,Alpha Chi Omega at 4525 College Ave,10/19/19,04:12,Alcohol Violation,CBE
264,2019-00061385,10/19/19,08:50,4000 block of Campus Dr,10/19/19,09:28,Damage to State Property,CBE
266,2019-00061406,10/19/19,13:09,3900 block of Campus Dr,10/19/19,13:09,Theft,Arrest
268,2019-00061430,10/19/19,16:13,Championship Ln,10/19/19,16:13,Injured/Sick Person,CBE
270,2019-00061472,10/19/19,{NO TIME},Ellicott at 4052 Stadium Dr,10/19/19,22:07,Vandalism,Investigation Pending
272,2019-00061486,10/19/19,23:40,4100 block of Valley Dr,10/19/19,23:47,Injured/Sick Person,CBE
274,2019-00061487,10/19/19,20:00,4500 block of College Ave,10/19/19,23:54,Injured/Sick Person,CBE
276,2019-00061490,10/20/19,00:18,"Oakland, Oakland Hall at 3912 Denton Service Ln",10/20/19,00:18,Injured/Sick Person,CBE
278,2019-00061517,10/20/19,02:58,Lot 11b,10/20/19,02:58,Alcohol Violation,Arrest
280,2019-00061632,10/20/19,18:23,7200 block of Preinkert Dr,10/20/19,18:23,Emergency Petition,CBE
282,2019-00061743,10/18/19,14:50,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr",10/21/19,09:35,Theft,Investigation Pending
